Organization,Certification Track,Exam,Exam Name,Format,Exam Date Start,Exam Date End,Registration Deadline ,Year
SOA,FSA,FSA-ILA201,"ILA 201-I Valuation and Advanced Product and Risk Management, International",CBT,02-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-ILA201,"ILA 201-U Valuation and Advanced Product and Risk Management, U.S.",CBT,02-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-CP341,CP 341 Advanced Life Reinsurance,CBT,03-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-CP351,CP 351 Asset Liability Management,CBT,03-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-GH301,GH 301 Health Analytics and Management,CBT,03-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-GI301,GI 301 Further Topics in General Insurance,CBT,03-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-GI302,GI 302 General Insurance in the U.S.,CBT,03-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-INV201,INV 201 Quantitative Finance,CBT,03-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-RET101,RET 101 Retirement Plan Design,CBT,03-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-RET201,RET 201 Retirement Plan Valuation,CBT,03-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-GI101,GI 101 Ratemaking and Reserving,CBT,04-Jul-26,,2026-06-16 23:59,2026
SOA,FSA,FSA-INV101,INV 101 Portfolio Management,CBT,04-Jul-26,,2026-06-16 23:59,2026
SOA,ASA / ACAS,P,Probability (P) Exam,CBT,08-Jul-26,19-Jul-26,2026-06-10 0:00,2026
SOA,FSA,FSA-CFE101,CFE 101 Enterprise Risk Management,CBT,20-Jul-26,,2026-06-16 0:00,2026
SOA,FSA,FSA-CFE201,CFE 201 Corporate Finance,CBT,20-Jul-26,,2026-06-16 23:59,2026
SOA,ASA,FAM,Fundamentals of Actuarial Mathematics (FAM) Exam,CBT,27-Jul-26,,2026-06-02 0:00,2026
SOA,ASA / ACAS,FM,Financial Mathematics (FM) Exam,CBT,06-Aug-26,17-Aug-26,2026-07-08 0:00,2026
SOA,ASA,SRM,Statistics for Risk Modeling (SRM) Exam,CBT,02-Sep-26,08-Sep-26,2026-08-05 0:00,2026
SOA,ASA,SRM,Statistics for Risk Modeling (SRM) Exam,P/P,02-Sep-26,,,2026
SOA,ASA / ACAS,P,Probability (P) Exam,CBT,10-Sep-26,21-Sep-26,2026-08-12 0:00,2026
SOA,ASA / ACAS,P,Probability (P) Exam,P/P,10-Sep-26,,,2026
SOA,ASA / ACAS,FM,Financial Mathematics (FM) Exam,CBT,01-Oct-26,12-Oct-26,2026-09-02 10:00,2026
SOA,ASA / ACAS,FM,Financial Mathematics (FM) Exam,P/P,01-Oct-26,,,2026
SOA,ASA,PA,Predictive Analytics (PA) Exam,CBT,13-Oct-26,16-Oct-26,2026-09-07 23:59,2026
SOA,ASA,ALTAM,Advanced Long-Term Actuarial Mathematics (ALTAM) Exam,CBT,21-Oct-26,,2026-09-14 0:00,2026
SOA,ASA,ASTAM,Advanced Short-Term Actuarial Mathematics (ASTAM) Exam,CBT,22-Oct-26,,2026-09-14 0:00,2026
SOA,ASA,FAM,Fundamentals of Actuarial Mathematics (FAM) Exam,P/P,23-Oct-26,,,2026
SOA,ASA / ACAS,P,Probability (P) Exam,CBT,04-Nov-26,15-Nov-26,2026-09-30 10:00,2026
SOA,FSA,EA-2 Segment F,Enrolled Actuaries Examinations (EA-2 Segment F),CBT,05-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-CFE101,CFE 101 Enterprise Risk Management,CBT,06-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-INV201,INV 201 Quantitative Finance,CBT,06-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-GH101,GH 101 Benefits and Pricing,CBT,07-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-ILA101,ILA 101 Pricing and Introduction to Valuation and Risk Management,CBT,07-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-GH201,"GH 201-C Valuation and Regulation, Canada",CBT,08-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-GH201,"GH 201-U Valuation and Regulation, U.S.",CBT,08-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-GH301,GH 301 Health Analytics and Management,CBT,08-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-ILA201,"ILA 201-I Valuation and Advanced Product and Risk Management, International",CBT,08-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-ILA201,"ILA 201-U Valuation and Advanced Product and Risk Management, U.S.",CBT,08-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-CP351,CP 351 Asset Liability Management,CBT,09-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-RET101,RET 101 Retirement Plan Design,CBT,09-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-RET301,RET 301 Actuarial Topics for Canadian Retirement Plans,CBT,09-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-CP312,CP 312 Model Development and Governance,CBT,20-Nov-26,,2026-10-13 0:00,2026
SOA,FSA,FSA-GI201,"GI 201 Operational, Financial, Regulatory and Legal",CBT,20-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-INV101,INV 101 Portfolio Management,CBT,20-Nov-26,,2026-10-13 23:59,2026
SOA,FSA,FSA-CP311,CP 311 Strategic Management,CBT,29-Nov-26,,2026-10-13 0:00,2026
SOA,FSA,FSA-CP321,"CP 321 Disability, Long-Term Care, and Long-Duration Health Contracts",CBT,29-Nov-26,,2026-10-13 0:00,2026
SOA,ASA / ACAS,FM,Financial Mathematics (FM) Exam,CBT,03-Dec-26,14-Dec-26,2026-11-04 0:00,2026
